frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
30,1.2000000000000004,0.780573,0.436213,0.949328,0.787832,0.429943,0.850381,0.787738,0.429746,0.854256,0.755978,0.524728,0.744465,0.741666,0.631897,0.328124,0.805527,0.675723,0.61316,0.727452,0.631881,0.370895,0.748726,0.62586,0.644587,0.794861,0.430177,0.856339,0.798381,0.543616,0.619631,0,0,0,0.791255,0.228409,0.840407,0,0,0
31,1.2400000000000004,0.773623,0.430295,0.893867,0.780807,0.429933,0.911776,0.78068,0.429835,0.890473,0.755861,0.524896,0.73476,0.699088,0.62566,0.339631,0.720493,0.638353,0.493164,0.695513,0.625773,0.410615,0.720471,0.631587,0.657852,0.784285,0.429998,0.899471,0.770062,0.531102,0.595291,0.699114,0.632007,0.451535,0.784141,0.234442,0.859783,0.695697,0.625641,0.49145
32,1.2800000000000005,0.759422,0.442594,0.860896,0.777182,0.436365,0.877471,0.776982,0.436251,0.829987,0.75938,0.531151,0.619845,0.684896,0.62532,0.283302,0.706138,0.638299,0.508906,0.674325,0.6253,0.338826,0.702692,0.631635,0.556584,0.780611,0.436436,0.921501,0.762951,0.531232,0.596255,0.688427,0.625741,0.512595,0.777169,0.24062,0.839664,0.684971,0.619299,0.496526
33,1.3200000000000005,0.752318,0.43651,0.92987,0.773609,0.436408,0.860387,0.77705,0.436274,0.86465,0.784185,0.543686,0.857726,0.780713,0.669468,0.670002,0.6954,0.644518,0.827526,0.776925,0.675728,0.751105,0.805382,0.657032,0.86585,0.770048,0.436471,0.829574,0.727497,0.531129,0.896132,0.670762,0.631778,0.783323,0.770038,0.240594,0.829367,0.667333,0.625342,0.730325
34,1.3600000000000005,0.748583,0.448821,0.875776,0.759351,0.436288,0.844545,0.759459,0.430249,0.825148,0.780548,0.537281,0.894107,0.780645,0.663349,0.604432,0.691996,0.650837,0.791204,0.773575,0.669753,0.660726,0.802013,0.644489,0.816482,0.755974,0.436412,0.840639,0.72045,0.53113,0.872495,0.663715,0.632009,0.796606,0.755805,0.246892,0.807108,0.663529,0.625423,0.733815
35,1.4000000000000006,0.738044,0.461386,0.857792,0.748843,0.442633,0.875176,0.748886,0.436401,0.83524,0.777019,0.537455,0.881378,0.780799,0.657165,0.605756,0.688432,0.657124,0.749542,0.777036,0.669613,0.669361,0.801942,0.638133,0.827742,0.748745,0.442708,0.867099,0.713263,0.543507,0.747399,0.663591,0.638272,0.768533,0.748906,0.24074,0.838826,0.660145,0.631783,0.729244
36,1.4400000000000006,0.7241,0.461409,0.908887,0.745147,0.442495,0.848217,0.748594,0.436364,0.840044,0.766449,0.543501,0.838853,0.780679,0.663447,0.702407,0.688408,0.669598,0.847821,0.776958,0.675741,0.774446,0.801791,0.63806,0.863288,0.738136,0.442518,0.822642,0.695736,0.543452,0.882089,0.663478,0.66329,0.787506,0.745117,0.234642,0.828401,0.65661,0.638392,0.706185
37,1.4800000000000006,0.723826,0.442584,0.917013,0.727535,0.436228,0.860531,0.731021,0.430229,0.837415,0.748849,0.537344,0.933221,0.77706,0.669497,0.669109,0.684905,0.66333,0.795213,0.770067,0.675895,0.727476,0.787757,0.631708,0.855564,0.727473,0.43631,0.850869,0.692133,0.53111,0.909047,0.663471,0.663478,0.75177,0.727513,0.24061,0.798196,0.653031,0.644492,0.646556
38,1.5200000000000007,0.72041,0.442745,0.898828,0.720452,0.430261,0.890281,0.720339,0.430157,0.863679,0.723942,0.537333,0.719323,0.762894,0.669639,0.41427,0.787799,0.62583,0.580775,0.762892,0.675859,0.463195,0.780581,0.625471,0.806439,0.72379,0.4362,0.925605,0.702711,0.531274,0.66454,0.77708,0.663479,0.608746,0.723842,0.234418,0.887912,0.769992,0.669715,0.577965
39,1.5600000000000007,0.720175,0.448975,0.866151,0.716741,0.436407,0.820593,0.716821,0.436226,0.815734,0.720388,0.556147,0.886864,0.75937,0.669706,0.719892,0.684838,0.663265,0.755873,0.755811,0.676087,0.81804,0.770062,0.625284,0.889308,0.713344,0.442533,0.82863,0.681422,0.537453,0.821231,0.660095,0.657146,0.717709,0.716873,0.228317,0.8688,0.656502,0.638255,0.655578
