frame,elapsed_time(s),neck_x,neck_y,neck_c,spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
34,1.3600000000000005,0.75555,0.303371,0.799732,0.75555,0.445005,0.778522,0.7463,0.442322,0.722528,0.717215,0.534968,0.844114,0.685084,0.638419,0.771657,0.688086,0.652116,0.734684,0.659035,0.622244,0.737184,0.665094,0.62208,0.728514,0.766274,0.445097,0.767871,0.778553,0.554007,0.860412,0.801385,0.649366,0.854695,0.806033,0.662977,0.822963,0.773855,0.663009,0.864625,0.780001,0.668446,0.833138
35,1.4000000000000006,0.749334,0.30613,0.785786,0.749381,0.442295,0.730413,0.740146,0.439591,0.674965,0.708061,0.534917,0.745112,0.680501,0.641252,0.792087,0.68205,0.660229,0.673392,0.654415,0.641234,0.791174,0.655952,0.638487,0.752004,0.755549,0.442345,0.723397,0.772318,0.548565,0.745395,0.79986,0.643951,0.803112,0.804563,0.654882,0.730036,0.772313,0.663026,0.809267,0.778538,0.665864,0.790782
36,1.4400000000000006,0.740129,0.303343,0.830731,0.738612,0.444941,0.786037,0.726421,0.44227,0.745469,0.700343,0.535051,0.820289,0.678973,0.641301,0.886785,0.681988,0.660251,0.790601,0.652893,0.649381,0.759524,0.654408,0.643912,0.811455,0.749348,0.445036,0.741908,0.763128,0.548617,0.815782,0.796826,0.641252,0.827974,0.803038,0.644066,0.796671,0.769276,0.665724,0.796781,0.778531,0.668499,0.755702
37,1.4800000000000006,0.729466,0.297874,0.848429,0.727921,0.439577,0.776566,0.71717,0.434163,0.766785,0.691212,0.535024,0.869823,0.678937,0.643857,0.874642,0.682007,0.660272,0.777734,0.65288,0.657528,0.771579,0.65438,0.6467,0.772269,0.738661,0.442285,0.737539,0.74784,0.551296,0.833048,0.79066,0.633085,0.850267,0.801362,0.638518,0.829811,0.767772,0.665783,0.823552,0.778462,0.665807,0.821124
38,1.5200000000000007,0.720269,0.295204,0.836868,0.71872,0.434161,0.78593,0.709542,0.428794,0.763996,0.685039,0.535034,0.83164,0.678888,0.643872,0.890083,0.681968,0.660274,0.82016,0.652862,0.660252,0.783953,0.65435,0.6494,0.748435,0.729419,0.436903,0.796326,0.73251,0.553982,0.867699,0.78003,0.622282,0.860061,0.7907,0.622257,0.831763,0.766202,0.665747,0.850056,0.776864,0.663072,0.844387
39,1.5600000000000007,0.714171,0.295086,0.850709,0.709581,0.439543,0.755382,0.701919,0.431481,0.771633,0.680428,0.537738,0.869592,0.678858,0.643953,0.871353,0.68054,0.660312,0.841733,0.652859,0.662892,0.800213,0.654364,0.652176,0.735086,0.718732,0.442293,0.778365,0.718715,0.554079,0.900966,0.766253,0.619385,0.861115,0.776951,0.616691,0.786794,0.758557,0.662922,0.746561,0.766273,0.654831,0.73341
40,1.6000000000000008,0.704998,0.292385,0.865958,0.703381,0.426094,0.787517,0.692738,0.426013,0.797171,0.678891,0.5349,0.864531,0.67742,0.643954,0.845656,0.680507,0.660258,0.836215,0.652865,0.660339,0.787668,0.654388,0.652158,0.727533,0.709541,0.428781,0.73119,0.703461,0.551245,0.85409,0.752439,0.61665,0.828587,0.763129,0.611298,0.726513,0.740229,0.663069,0.780728,0.750914,0.65762,0.73539
41,1.6400000000000008,0.697317,0.289767,0.81738,0.692744,0.428683,0.785589,0.686565,0.426002,0.749218,0.678917,0.537774,0.77029,0.677409,0.643964,0.695253,0.680475,0.660237,0.604789,0.652922,0.660268,0.591601,0.65437,0.654815,0.540661,0.703361,0.428797,0.762406,0.681966,0.540476,0.763354,0.734055,0.619444,0.601692,0.741726,0.619412,0.646243,0.720277,0.665814,0.618426,0.727916,0.663076,0.601288
42,1.6800000000000008,0.691207,0.289708,0.867318,0.686569,0.425904,0.738892,0.678931,0.42323,0.777697,0.669729,0.537644,0.832913,0.677342,0.641332,0.842268,0.680513,0.654809,0.812478,0.651385,0.662898,0.80685,0.654407,0.654856,0.73104,0.692743,0.428664,0.764197,0.675849,0.535073,0.81551,0.715676,0.622237,0.864259,0.726365,0.624913,0.718456,0.694219,0.665677,0.841987,0.703433,0.663121,0.810478
43,1.7200000000000009,0.68203,0.284335,0.813616,0.678966,0.423255,0.798719,0.672776,0.423169,0.728418,0.67125,0.535045,0.772131,0.685068,0.641122,0.699724,0.70035,0.64404,0.402148,0.65445,0.652164,0.454062,0.655939,0.646668,0.418288,0.68503,0.425928,0.741445,0.663595,0.534947,0.835934,0.680522,0.643878,0.758922,0.69118,0.652109,0.664177,0.654441,0.660214,0.657804,0.662074,0.665653,0.600736
