frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
133,5.32,65.157,159.173,0.931471,76.8696,233.994,0.765718,88.6355,231.08,0.773148,98.8185,288.288,0.846394,107.703,344.128,0.794452,112.111,347.168,0.745589,75.4484,348.552,0.0745537,79.7958,344.147,0.0519139,65.0784,236.936,0.755578,76.8911,291.304,0.801479,94.4971,347.14,0.803593,100.393,355.88,0.800647,66.623,355.93,0.790728,75.3701,358.815,0.815757,0,0
134,5.36,65.1368,159.174,0.934773,76.8437,235.462,0.769263,88.6162,231.118,0.769053,98.8119,288.291,0.839142,107.693,344.131,0.791722,112.103,348.537,0.743326,76.8095,348.546,0.0748217,79.8075,344.159,0.0545925,63.7103,238.384,0.759396,76.8808,292.729,0.795866,94.4957,347.138,0.800649,100.391,355.877,0.796665,66.6256,357.286,0.78862,75.3797,358.818,0.814882,0,0
135,5.4,65.1234,159.178,0.933941,76.8217,234.002,0.769109,88.6067,231.075,0.780413,97.4172,286.906,0.829402,107.696,344.116,0.791774,112.108,347.161,0.75288,75.4456,348.592,0.0763692,78.3554,347.086,0.0533304,63.6764,236.948,0.753534,76.8495,289.859,0.813661,94.4752,347.128,0.806996,100.384,355.859,0.796887,66.6288,357.291,0.799287,75.3857,358.818,0.8247,0,0
136,5.44,65.0983,159.186,0.933483,76.8128,231.11,0.774657,88.6046,229.628,0.780946,97.4316,286.879,0.826267,107.687,344.108,0.786844,112.099,347.164,0.75621,75.4454,348.582,0.0782846,78.3465,345.622,0.0583905,63.6617,235.47,0.741471,76.8145,289.83,0.816073,94.4749,347.129,0.803074,100.384,355.868,0.798602,66.6267,357.287,0.797273,75.3768,358.816,0.824686,0,0
137,5.48,65.0814,159.179,0.935349,75.456,231.064,0.779821,88.5865,229.575,0.787292,97.4157,286.839,0.814703,107.691,344.109,0.786717,112.101,347.166,0.756842,75.4515,348.583,0.0777805,78.3522,345.613,0.0579029,63.6223,234.006,0.733464,75.4605,289.807,0.813842,94.4704,347.128,0.80129,100.381,355.867,0.795395,66.6279,357.287,0.793546,75.3782,358.815,0.820102,0,0
138,5.52,65.0651,159.192,0.934387,75.4546,231.059,0.782209,88.5861,229.579,0.788777,97.3983,286.833,0.811068,107.674,344.105,0.783,112.091,347.169,0.750489,75.4164,350.003,0.0795379,78.3465,345.603,0.06193,63.617,233.992,0.735365,75.4583,289.798,0.817925,94.4649,347.132,0.797934,100.375,355.879,0.797873,66.6275,355.928,0.78721,75.3643,358.808,0.814191,0,0
139,5.56,65.056,159.183,0.934727,75.4124,229.647,0.783084,87.2141,229.564,0.78881,97.3995,286.843,0.819437,107.674,344.11,0.785943,112.088,347.169,0.755294,75.4277,348.573,0.0797544,78.3605,344.162,0.0580739,62.2101,232.528,0.728031,75.4574,289.797,0.823724,94.463,347.13,0.802182,100.371,355.868,0.797311,66.6191,355.928,0.791513,75.3566,358.807,0.817507,0,0
140,5.6,63.7139,159.187,0.931236,75.4046,229.643,0.780227,87.2092,229.574,0.785,97.3971,286.86,0.823157,107.677,344.113,0.786464,112.087,347.171,0.753274,75.4408,348.581,0.0777037,78.3566,345.613,0.0566903,62.1868,231.107,0.731895,75.4365,288.414,0.824844,94.4621,347.13,0.802149,100.371,355.869,0.797757,66.6219,355.928,0.789526,75.359,358.805,0.817466,0,0
141,5.64,63.6961,159.179,0.936069,75.4108,229.63,0.781782,87.2008,228.179,0.783752,97.3956,286.859,0.819167,107.693,344.126,0.79016,112.102,348.544,0.748539,75.4688,348.6,0.0698087,78.3449,347.101,0.0507039,63.5802,231.108,0.738432,75.4376,288.381,0.831495,94.4637,347.118,0.804007,100.372,355.856,0.786217,66.6248,357.287,0.782483,75.3735,358.805,0.812784,0,0
142,5.68,63.6796,159.171,0.938746,75.3945,229.603,0.781674,87.1879,228.158,0.779978,97.3885,286.853,0.8151,107.695,344.111,0.786675,112.115,347.17,0.749232,75.4437,348.551,0.0716446,78.3368,345.619,0.0507272,62.1981,231.067,0.739326,75.4228,288.393,0.829622,94.4692,347.128,0.802318,100.386,355.875,0.79526,66.602,357.292,0.789935,75.3537,358.818,0.813201,0,0
143,5.72,63.6932,159.175,0.938627,75.3965,229.599,0.78262,87.1833,228.161,0.779086,97.3846,286.864,0.813407,107.695,344.118,0.788625,112.116,348.536,0.749193,75.4488,348.565,0.0719593,78.3386,345.637,0.0509097,62.2065,231.053,0.737864,75.4177,288.393,0.825635,94.4689,347.129,0.801895,100.384,355.875,0.79241,66.6023,357.295,0.788509,75.3541,358.819,0.810063,0,0
144,5.76,63.6845,159.175,0.941075,75.3846,229.626,0.773737,87.1742,229.562,0.779182,97.3778,286.858,0.806894,107.685,344.114,0.784181,112.123,348.535,0.738606,75.4356,348.584,0.0782366,76.946,347.072,0.0572719,62.1961,231.089,0.731997,75.4441,288.409,0.816803,94.4741,347.127,0.797844,100.388,355.876,0.789194,66.6108,355.925,0.786125,75.3648,358.809,0.806459,0,0
145,5.8,63.6771,159.18,0.938202,75.403,229.643,0.774568,87.1907,229.582,0.779465,97.3668,286.882,0.81276,107.693,344.109,0.78614,112.12,347.17,0.751068,75.4311,348.571,0.0734441,78.3228,345.62,0.0548161,63.5863,232.517,0.729876,75.4455,289.806,0.814299,94.4857,347.129,0.802852,100.394,355.879,0.801242,66.6058,357.284,0.793874,75.3523,358.813,0.815151,0,0
146,5.84,63.6764,159.174,0.941049,75.3946,229.618,0.777287,87.1851,229.561,0.777921,95.9221,286.859,0.804336,107.706,344.113,0.789973,112.129,348.535,0.751435,75.4326,348.575,0.0739348,78.344,345.637,0.0542028,62.2066,231.077,0.735048,75.4204,289.807,0.819379,94.4847,347.135,0.803273,100.394,355.885,0.800962,66.6111,357.287,0.794189,75.3565,358.813,0.815778,0,0
147,5.88,63.6757,159.178,0.939904,75.4096,231.047,0.774216,87.1894,229.596,0.781078,94.4701,286.881,0.804122,107.689,344.117,0.792365,112.109,347.172,0.762477,75.4314,348.564,0.0774968,78.3346,345.621,0.055716,63.5961,232.533,0.73367,75.4267,289.838,0.816015,94.463,347.142,0.803537,100.376,355.879,0.809329,66.6021,355.931,0.802276,75.3371,358.81,0.819476,0,0
148,5.92,63.6763,159.177,0.939782,75.4298,229.631,0.781691,87.214,229.577,0.781035,91.5867,286.917,0.813207,107.682,344.103,0.78491,112.113,347.155,0.76234,75.3965,348.575,0.0737994,76.8977,347.079,0.0511853,63.6119,231.086,0.748576,75.4064,289.853,0.814259,93.0425,347.129,0.806332,100.378,355.858,0.797296,66.5843,357.299,0.80277,73.9519,358.825,0.816286,0,0
149,5.96,63.7109,159.192,0.932275,75.4354,229.62,0.777713,87.1998,229.575,0.770977,90.1136,288.355,0.830451,107.68,344.162,0.796087,112.131,348.558,0.750705,75.3847,348.589,0.0836478,76.8669,347.074,0.0573955,63.6453,231.073,0.752149,75.4399,292.728,0.80216,93.0483,347.144,0.803974,100.388,355.877,0.790792,66.5825,357.318,0.815586,75.3412,358.843,0.821293,0,0
150,6,65.0774,160.556,0.929422,75.429,231.089,0.759723,87.1709,229.643,0.761729,88.6412,288.408,0.851374,107.683,345.552,0.798565,112.134,348.58,0.74261,75.4287,348.583,0.0851726,78.3259,345.632,0.0569822,63.6602,233.987,0.733925,75.4574,294.206,0.816399,94.4658,348.534,0.797218,100.39,355.909,0.805625,66.6142,357.339,0.812031,75.3777,358.865,0.825185,0,0
151,6.04,65.0757,159.182,0.927814,75.4048,229.614,0.757416,87.1398,229.582,0.740563,87.1555,289.837,0.839182,107.703,345.55,0.801657,112.175,348.569,0.752777,75.3718,348.583,0.0889542,76.8829,347.096,0.0573738,63.6528,231.055,0.735005,75.3835,294.215,0.814911,93.0344,347.169,0.808702,100.395,355.904,0.824746,66.6058,357.336,0.834713,75.3596,358.864,0.852335,0,0
152,6.08,65.1291,159.162,0.912786,75.4629,229.653,0.736383,87.1583,229.646,0.713098,84.2163,289.824,0.803787,109.124,344.143,0.787417,113.576,347.144,0.740824,76.8168,347.065,0.115845,79.8073,341.222,0.0764401,65.124,231.055,0.719502,75.3845,295.666,0.819204,94.4704,348.599,0.80363,100.417,357.317,0.881293,65.1838,357.365,0.873066,73.9224,358.895,0.860696,0,0
153,6.12,65.1565,159.148,0.906685,76.8631,229.627,0.750067,87.1898,229.608,0.743963,79.825,288.412,0.804306,109.134,341.208,0.778168,113.588,345.661,0.767364,78.3476,345.629,0.136334,79.8021,342.663,0.10234,66.5818,229.63,0.732748,75.331,294.217,0.794968,94.513,350.01,0.800223,100.435,357.33,0.913862,65.1846,357.378,0.877651,73.9106,358.91,0.878818,0,0
154,6.16,66.5989,160.569,0.878734,76.8821,229.647,0.735934,87.1615,229.621,0.738153,81.2489,289.812,0.783995,107.727,338.3,0.772357,113.576,345.576,0.751453,78.3313,345.655,0.138351,81.2499,341.209,0.10304,68.0372,229.644,0.723798,75.4077,295.671,0.826372,94.482,348.619,0.796029,100.404,357.328,0.904788,65.1649,357.392,0.888485,73.8879,358.92,0.869052,0,0
