frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
24,0.96,686.399,167.888,0.829323,678.973,241.313,0.79118,673.088,239.861,0.805034,656.984,297.159,0.831574,662.756,352.969,0.810499,665.753,358.909,0.819423,634.911,357.365,0.776785,637.869,355.86,0.742601,687.778,241.409,0.786914,684.865,305.987,0.831624,731.846,339.758,0.805237,740.649,338.31,0.782597,712.805,360.298,0.814574,723.003,358.855,0.856156,0,0
25,1,680.441,163.5,0.78234,676.012,238.366,0.798848,667.255,236.923,0.73474,654.039,297.184,0.823738,662.768,354.427,0.820409,665.778,358.926,0.808788,633.455,357.387,0.788858,637.854,355.888,0.738867,681.954,238.421,0.758494,667.263,301.557,0.772225,721.503,335.425,0.842395,728.94,335.35,0.811375,703.942,366.163,0.752688,711.312,361.774,0.757588,0,0
26,1.04,674.605,162.033,0.82248,670.188,234.03,0.72391,662.862,232.553,0.769625,652.637,298.665,0.844388,662.799,354.445,0.724712,665.798,358.918,0.658461,634.936,357.404,0.679034,637.833,357.288,0.627986,676.097,236.915,0.746783,655.486,298.679,0.8372,705.408,336.834,0.681529,712.807,335.414,0.681283,687.792,367.677,0.696101,696.574,366.179,0.65682,0,0
27,1.08,665.824,159.189,0.841081,664.303,233.989,0.790351,656.978,231.119,0.736677,652.583,297.157,0.82066,662.792,348.577,0.834973,665.766,357.375,0.790622,637.869,357.383,0.869817,639.386,355.88,0.785378,671.674,235.462,0.740184,645.2,298.551,0.834333,687.78,336.864,0.845949,698.085,338.285,0.786888,671.663,360.348,0.6977,676.07,360.285,0.7159,0,0
28,1.12,661.388,159.16,0.860772,661.316,232.548,0.734804,652.521,232.565,0.772537,652.568,292.756,0.8002,662.892,350.011,0.749288,673.069,358.828,0.350176,636.372,355.924,0.7078,637.879,352.991,0.642996,665.78,232.558,0.719099,637.865,291.316,0.81805,667.249,345.622,0.728164,676.086,348.561,0.628508,640.883,357.375,0.510118,651.045,358.868,0.527804,0,0
29,1.16,652.635,160.578,0.862192,652.537,236.959,0.800266,645.227,236.947,0.747756,652.526,298.632,0.870789,662.809,351.487,0.795766,667.233,357.407,0.68912,636.411,358.897,0.12338,0,0,0,659.895,238.376,0.714222,627.566,292.766,0.850062,651.079,350.05,0.817576,658.443,357.338,0.78103,626.084,361.8,0.806393,630.538,366.193,0.830585,0,0
30,1.2,648.149,160.554,0.844639,648.118,238.425,0.767219,640.748,238.412,0.810704,651.078,289.846,0.858489,662.807,347.161,0.835845,665.756,357.381,0.843872,642.333,351.514,0.306545,648.123,347.137,0.239492,652.555,239.823,0.773555,617.324,291.263,0.869748,629.02,351.487,0.82431,636.408,357.411,0.725147,601.176,358.913,0.790027,607.039,363.259,0.840686,0,0
31,1.24,640.842,162.035,0.860795,640.785,239.835,0.824471,634.914,239.835,0.752791,649.601,295.672,0.815123,662.813,351.517,0.819682,665.819,358.894,0.8073,633.473,357.381,0.820803,637.884,355.889,0.715241,646.712,239.863,0.742008,612.906,294.2,0.813587,605.576,357.349,0.875638,612.909,363.251,0.789548,579.12,357.332,0.816944,583.537,360.302,0.849881,0,0
32,1.28,633.471,164.986,0.817022,633.49,239.918,0.78735,627.651,239.889,0.802418,643.772,297.128,0.809539,662.795,352.94,0.806778,665.82,358.904,0.78877,632.018,357.376,0.816436,637.881,355.894,0.732538,639.374,241.334,0.801398,605.623,295.69,0.850762,589.399,355.903,0.813386,592.335,363.267,0.789674,558.551,347.145,0.836447,565.876,355.913,0.785012,0,0
33,1.32,627.642,167.863,0.879453,627.653,239.85,0.824607,620.265,239.855,0.758999,640.786,295.669,0.849829,661.377,350.029,0.792845,665.792,358.834,0.785835,631.981,357.37,0.789021,637.834,355.883,0.69857,634.932,239.86,0.735517,602.631,297.112,0.839882,571.796,354.408,0.797,573.264,361.796,0.743325,545.375,344.18,0.843105,548.287,348.586,0.807211,0,0
