frame,mocap_frame,mocap_time,CLAV_x,CLAV_y,LASI_x,LASI_y,RASI_x,RASI_y,LKNE_x,LKNE_y,LANK_x,LANK_y,LHEE_x,LHEE_y,LTOE_x,LTOE_y,RKNE_x,RKNE_y,RANK_x,RANK_y,RHEE_x,RHEE_y,RTOE_x,RTOE_y,SPINEHIP_x,SPINEHIP_y
26,880,8.79,780.907364182454,169.358006602236,786.52779865615,228.640628267596,770.96054733946,228.664622747238,776.518082566865,300.332174239506,775.976507023477,357.55671844135,779.938866283653,359.430953987332,745.661241047309,359.113828311002,766.720642739547,294.330145393433,809.544586353645,325.003584444907,817.577067306409,320.080233039042,799.007874501879,348.903313356195,778.470018090423,228.652186356215
27,884,8.83,774.813509488681,167.623721144191,781.171456651008,227.478546686249,765.374567655552,226.464966879091,774.988944163222,300.562235211791,775.807935193141,357.414253899596,779.856873673171,359.300856789831,745.622888976651,359.073849151787,753.977853401875,291.087470671616,793.446308886766,327.586727640453,802.317700919818,324.20999213769,776.979197016418,348.126317836555,772.994548622594,226.952551282481
28,888,8.87,768.656670112854,166.302540328916,775.404319013648,226.834648522787,759.70406544473,224.62341084152,773.333380907409,300.878685126481,775.667317690715,357.309565203399,780.037082988383,359.020883637725,745.60664737711,359.049595759685,742.663767259872,288.116411911816,774.957647563405,332.150289499052,784.405370999599,330.420046749949,753.975574708905,348.505959167555,767.277080449052,225.688175897339
29,892,8.91,762.109209777683,165.558044850598,769.40614019042,226.609879285571,753.847292284949,223.40070362766,771.595364126209,301.23404558768,775.552530908007,357.200111718448,779.727738045949,358.79934528694,745.651265427359,359.074168683283,732.714612208119,286.1829730254,754.272728055485,337.545187831092,764.243865724563,337.280362870919,730.250051775632,348.777059070096,761.351893912631,224.946397076166
30,896,8.95,755.375194137103,165.571845451408,763.203094378229,226.792730010913,747.66163412501,223.120234459052,769.813954181416,301.661682081729,775.447005256201,357.087532477922,779.6547655142,358.455208468656,745.590010579487,359.102214694416,724.129051564834,285.728546215296,732.010049012353,342.411910448088,742.235445807971,343.614773869703,706.30262373826,347.624721806512,755.157365294124,224.889129527831
31,900,8.99,748.312047883079,166.27953155661,756.666807904233,227.538235013248,740.996998924382,223.777989780884,767.897681591459,302.126042642748,775.300122192014,356.955731537678,779.587779004688,358.111880126117,745.576897661539,359.130304358478,716.37121626959,287.133109979509,709.429133205612,345.525940773948,719.43954343754,348.235273048641,683.529011780363,344.755403295579,748.553618229756,225.588960119171
32,904,9.03,740.949221951522,167.675508861722,749.897513636608,228.807224596505,733.634008006956,225.153665896196,765.733688818766,302.68120656665,775.127388780675,356.782828206327,779.503145696445,357.687601107332,745.568166711493,359.138372084447,708.974175313931,289.82074587052,688.013597178757,346.309390794938,697.870564979415,350.226177860836,663.460671525694,340.265528212858,741.476588880765,226.913118349502
33,908,9.07,733.255150559187,169.641733163928,742.784538047614,230.518114034066,725.463534184429,227.179111620097,762.61322803789,303.461600711017,774.899584653586,356.563651741158,779.433656948408,357.130314337626,745.543858776998,359.162322758995,700.718934174195,292.213714814863,670.122890810497,345.102424638706,679.885225893678,350.328201755346,648.508032272151,334.643197614827,733.814722905893,228.786649895476
34,912,9.11,725.18785279911,171.653421540865,735.443513458342,232.688609279717,716.887026008444,229.331280820917,758.179328910436,304.441537301707,774.394384369002,356.05294059291,779.245311125685,356.176516007525,745.448190933781,359.226631317825,691.421815692684,293.465466794638,658.323983026699,345.410181623091,668.376020002019,350.902346873876,639.024091407606,333.19121217341,725.834162764802,230.947577736041
35,916,9.15,716.76074873235,173.311128246451,726.981464547893,234.487757127183,707.636030858996,230.454291128794,752.821060851909,304.684611789095,773.47290486777,354.639354133731,778.672525856134,354.125163876287,745.173762274748,359.322568339623,681.88301082028,294.013386450377,653.306774287215,348.047258695272,663.757681085628,353.171874656671,632.996636062016,338.482944670572,716.964850499062,232.396526292713
