frame,elapsed_time(s),CLAV_x,CLAV_y,CLAV_z,LASI_x,LASI_y,LASI_z,RASI_x,RASI_y,RASI_z,LKNE_x,LKNE_y,LKNE_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RKNE_x,RKNE_y,RKNE_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z,spine-hip_x,spine-hip_y,spine-hip_z,,
924,9.23,-143.15,1301.39,1217.26,-12.2731,1328.73,846.566,-267.53,1319.2,843.691,-12.6581,1562.17,420.811,-25.1942,1816.73,111.844,-85.503,1891.15,113.836,-93.6234,1698.27,15.3569,-264.634,1194.49,421.761,-242.956,1106.72,31.3472,-190.904,1164.3,31.8244,-185.256,934.872,52.6135,-139.90155,1323.965,845.1285,,
928,9.27,-150.524,1246.17,1227.32,-17.8804,1270.87,854.081,-273.04,1262.41,857.781,-16.7837,1477.34,416.473,-16.5517,1768.57,142.41,-75.2958,1840.83,162.676,-89.9249,1680.94,16.9625,-265.807,1146.8,429.936,-245.007,1100.95,30.5011,-194.118,1159.29,35.8993,-187.208,929.549,39.2857,-145.4602,1266.64,855.931,,
932,9.31,-154.581,1191.96,1238.24,-22.3928,1218.5,863.787,-277.499,1209.33,869.231,-16.376,1383.18,414.681,-13.1271,1698.81,179.979,-70.6804,1763.22,217.325,-89.5547,1645.31,25.1699,-268.667,1112.89,430.435,-245.109,1097.65,30.4206,-195.303,1156.36,38.4037,-184.372,926.352,29.1745,-149.9459,1213.915,866.509,,
936,9.35,-154.645,1143.65,1249.33,-29.759,1169.26,874.641,-284.431,1161.52,879.545,-10.4913,1289.07,418.522,-14.0116,1614.34,204.386,-75.2663,1674.65,242.28,-84.2662,1570.31,32.3631,-271.956,1089.21,430.774,-245.033,1096.54,30.6125,-195.943,1155.64,39.6979,-183.159,925.698,26.0652,-157.095,1165.39,877.093,,
940,9.39,-154.163,1102.45,1257.78,-36.0828,1122.98,886.868,-290.187,1117.14,889.672,-3.49468,1195.26,428.875,-16.8749,1516.64,213.504,-85.0934,1576.82,240.77,-70.3084,1449.37,46.5834,-277.627,1071.98,430.019,-245.447,1096.02,30.3667,-196.774,1155.3,40.5451,-183.423,925.344,24.3579,-163.1349,1120.06,888.27,,
944,9.43,-153.124,1057.88,1267.57,-41.4807,1078.43,898.409,-295.395,1075.22,897.354,0.637255,1103.03,444.022,-18.4489,1405.48,205.391,-89.8363,1466.57,219.738,-55.4384,1313.41,46.1603,-283.636,1060.04,428.393,-246.011,1095.9,29.9729,-197.45,1155.06,41.3718,-184.248,925.314,23.6129,-168.43785,1076.825,897.8815,,
948,9.47,-152.706,1013.87,1275.19,-46.9536,1033.12,907.573,-300.836,1035.32,902.158,-0.0837988,1015.64,461.539,-16.8491,1283.22,183.357,-88.389,1345.8,184.301,-47.2257,1163.75,42.2697,-287.048,1050.85,427.157,-245.654,1095.78,30.1217,-197.463,1155.19,42.6402,-184.574,925.052,22.9617,-173.8948,1034.22,904.8655,,
952,9.51,-152.711,969.336,1279.31,-51.0607,987.892,913.948,-305.03,994.824,903.905,-3.74514,936.122,476.679,-14.0795,1151.07,153.109,-84.1403,1213.9,140.717,-45.9369,1007.02,37.6169,-288.537,1040.52,425.842,-244.417,1095.34,30.7984,-195.957,1154.5,43.4487,-184.214,924.447,22.0785,-178.04535,991.358,908.9265,,
956,9.55,-152.954,924.119,1279.24,-53.4843,942.704,915.916,-306.554,957.245,901.719,-8.55503,866.238,486,-13.4934,1011.52,122.117,-82.1826,1072.68,97.9257,-48.5759,849.026,34.8723,-287.794,1027.07,423.649,-242.236,1094.47,32.4245,-193.746,1153.78,44.9594,-182.768,923.586,20.7258,-180.01915,949.9745,908.8175,,
960,9.59,-153.407,877.844,1274.39,-54.5767,897.063,912.521,-307.173,917.18,896.511,-13.4584,806.547,485.432,-18.7794,870.545,96.6291,-88.5691,923.872,60.168,-49.3335,692.744,42.8423,-284.294,1008.69,420.079,-239.323,1093.4,34.7143,-190.805,1152.79,47.2887,-180.496,922.705,19.1923,-180.87485,907.1215,904.516,,
964,9.63,-153.638,832.781,1264.06,-54.6564,849.902,904.326,-306.802,875.705,888.528,-17.4103,756.208,475.228,-28.838,732.554,79.1519,-102.767,772.868,33.2709,-48.9895,545.718,65.2808,-280.12,984.614,414.934,-237.701,1092.33,36.2785,-189.084,1151.55,49.8913,-178.972,921.849,18.0882,-180.7292,862.8035,896.427,,
968,9.67,-153.61,783.765,1251.94,-54.138,797.931,891.841,-306.274,832.042,878.347,-20.2812,711.486,455.406,-40.1934,602.292,72.6963,-117.476,628.509,21.6411,-52.3784,416.394,102.45,-275.6,955.26,407.707,-237.36,1090.66,37.9093,-188.877,1149.38,53.651,-178.196,921.107,17.4911,-180.206,814.9865,885.094,,
972,9.71,-152.631,733.312,1238.98,-55.3422,741.836,877.701,-307.071,785.571,866.015,-23.525,663.986,435.708,-49.3151,493.557,76.4215,-128.776,511.145,23.6265,-63.3931,317.052,140.462,-270.37,925.619,399.654,-237.09,1088.25,40.3576,-188.882,1146.81,58.7441,-177.591,920.048,16.2977,-181.2066,763.7035,871.858,,
976,9.75,-150.431,680.423,1227.67,-57.7145,683.871,866.404,-307.195,736.47,852.797,-27.1182,600.062,428.289,-58.9403,426.453,69.8851,-138.103,444.854,16.6655,-81.1536,256.488,144.131,-266.521,895.007,393.604,-237.209,1083.54,46.1335,-189.886,1141.59,68.8092,-177.129,917.855,14.3588,-182.45475,710.1705,859.6005,,
