frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
24,0.9600000000000003,0.845856,0.458658,0.807955,0.824416,0.428787,0.767951,0.815183,0.428666,0.790704,0.818274,0.548556,0.816045,0.853551,0.643944,0.725579,0.804557,0.66573,0.813715,0.853506,0.64678,0.777148,0.861123,0.600285,0.900448,0.830562,0.43683,0.715358,0.80448,0.537764,0.871956,0.778501,0.66581,0.869418,0.832043,0.246204,0.876492,0.773846,0.662909,0.835331
25,1.0000000000000002,0.83667,0.458639,0.858562,0.816804,0.439568,0.759454,0.810623,0.434151,0.747657,0.801458,0.545896,0.844827,0.833615,0.641197,0.738619,0.804564,0.663117,0.7768,0.835124,0.644068,0.812024,0.844343,0.600258,0.85774,0.827486,0.44231,0.775136,0.802966,0.540472,0.865432,0.778497,0.665822,0.838394,0.824438,0.240742,0.866451,0.773832,0.662938,0.805741
26,1.0400000000000003,0.824418,0.450492,0.879115,0.81516,0.428747,0.803139,0.804486,0.426063,0.800789,0.789162,0.535061,0.901243,0.815267,0.638429,0.610475,0.804534,0.663139,0.836601,0.815278,0.643907,0.685719,0.827444,0.600473,0.9064,0.824393,0.434137,0.743072,0.801459,0.543143,0.834607,0.778519,0.665773,0.874548,0.816784,0.23262,0.86522,0.773871,0.662887,0.812983
27,1.0800000000000003,0.813619,0.447737,0.898431,0.809114,0.4314,0.773961,0.799918,0.426106,0.811933,0.776937,0.532262,0.931332,0.789216,0.624929,0.36402,0.807575,0.660298,0.754711,0.78923,0.635767,0.403312,0.813608,0.608582,0.811626,0.818271,0.436846,0.732804,0.801362,0.545868,0.815852,0.779999,0.665807,0.819519,0.813676,0.232617,0.903853,0.775396,0.660354,0.816623
28,1.1200000000000003,0.80147,0.444965,0.892823,0.802946,0.425953,0.826416,0.7908,0.423245,0.813364,0.764754,0.52942,0.89311,0.766154,0.641156,0.786413,0.806058,0.663137,0.827009,0.764738,0.644072,0.863885,0.787606,0.622226,0.813597,0.813698,0.428699,0.774785,0.799938,0.543117,0.825693,0.779999,0.66852,0.77737,0.803015,0.229942,0.918798,0.775367,0.663104,0.844561
29,1.1600000000000004,0.79066,0.444993,0.882942,0.798368,0.425891,0.801173,0.787656,0.423211,0.789601,0.754053,0.524069,0.850667,0.741685,0.641135,0.757016,0.806031,0.665674,0.852129,0.740215,0.643993,0.788869,0.76461,0.624972,0.838425,0.807542,0.426066,0.75204,0.798395,0.537741,0.812125,0.77999,0.665718,0.794419,0.796817,0.22982,0.882422,0.773855,0.660345,0.811605
30,1.2000000000000004,0.778419,0.445064,0.913516,0.789226,0.425978,0.820283,0.778425,0.423279,0.807738,0.750925,0.526777,0.845823,0.717169,0.635711,0.726443,0.806049,0.665667,0.841811,0.714161,0.641097,0.767236,0.740206,0.638433,0.855849,0.801401,0.428677,0.765519,0.793791,0.545841,0.798215,0.778544,0.665823,0.843723,0.790656,0.229944,0.923809,0.773846,0.66294,0.872152
31,1.2400000000000004,0.76773,0.445056,0.887219,0.783036,0.42879,0.739928,0.773898,0.426096,0.725117,0.741736,0.529566,0.860989,0.694293,0.622154,0.659086,0.806062,0.665642,0.829868,0.692694,0.624905,0.687562,0.71873,0.633042,0.798026,0.790803,0.434138,0.736838,0.792277,0.551284,0.832418,0.780043,0.665816,0.828404,0.781519,0.232562,0.841676,0.775355,0.662902,0.841537
32,1.2800000000000005,0.758557,0.447685,0.846451,0.776914,0.434132,0.777836,0.766167,0.431405,0.728581,0.737098,0.5349,0.803222,0.678951,0.616646,0.696499,0.807557,0.663114,0.813952,0.675877,0.619322,0.71014,0.703422,0.630362,0.805506,0.787627,0.436859,0.728675,0.790687,0.551258,0.861347,0.780038,0.66586,0.811721,0.775366,0.237969,0.838345,0.775347,0.662933,0.826089
33,1.3200000000000005,0.75084,0.45051,0.848507,0.766271,0.442303,0.785089,0.755555,0.439582,0.707945,0.727857,0.535036,0.797324,0.668178,0.613922,0.723484,0.806074,0.663043,0.830787,0.665134,0.616639,0.742914,0.691195,0.633037,0.819341,0.778404,0.444976,0.778587,0.787613,0.553939,0.850329,0.780026,0.665871,0.829259,0.766227,0.246128,0.908202,0.773888,0.662958,0.852347
34,1.3600000000000005,0.741664,0.453278,0.865796,0.758547,0.44226,0.714708,0.752419,0.439571,0.651467,0.717249,0.534891,0.630655,0.660576,0.622096,0.523944,0.804559,0.660348,0.680708,0.657508,0.622164,0.569537,0.686557,0.638519,0.543643,0.764723,0.442345,0.734424,0.778518,0.551367,0.701224,0.778459,0.668441,0.767063,0.755516,0.248734,0.893396,0.772359,0.663031,0.770894
35,1.4000000000000006,0.732507,0.458636,0.815062,0.750911,0.442277,0.713042,0.746318,0.439549,0.566578,0.708,0.537643,0.459799,0.656018,0.635731,0.331646,0.680531,0.660298,0.536543,0.654436,0.638429,0.345415,0.680518,0.641315,0.432896,0.752449,0.442353,0.713321,0.706534,0.537758,0.469941,0.655998,0.64402,0.593918,0.747837,0.246158,0.850071,0.654392,0.638491,0.574888
36,1.4400000000000006,0.729395,0.455946,0.846104,0.738609,0.445019,0.791216,0.726388,0.442319,0.745767,0.698811,0.540443,0.785274,0.654412,0.643934,0.798267,0.804481,0.646642,0.805858,0.652871,0.649376,0.749538,0.678991,0.643977,0.892053,0.749373,0.44768,0.742043,0.7646,0.553901,0.858187,0.778544,0.671191,0.779605,0.740157,0.246101,0.882103,0.769288,0.665841,0.824513
37,1.4800000000000006,0.723361,0.453237,0.805119,0.727885,0.442231,0.779434,0.71572,0.436848,0.76643,0.691176,0.537682,0.868312,0.654404,0.64665,0.754707,0.80142,0.6385,0.84403,0.652882,0.654864,0.739569,0.678927,0.64399,0.874782,0.73864,0.444925,0.738303,0.747836,0.551307,0.844922,0.778504,0.668428,0.822116,0.727992,0.237949,0.846151,0.767798,0.665858,0.83407
38,1.5200000000000007,0.717287,0.450568,0.874429,0.718742,0.434201,0.776473,0.709573,0.431411,0.754647,0.683516,0.537694,0.826851,0.65436,0.649421,0.75579,0.790716,0.622277,0.825394,0.652884,0.660267,0.79477,0.678889,0.643964,0.887029,0.729431,0.439565,0.791894,0.731032,0.553975,0.870872,0.775434,0.663133,0.837475,0.718804,0.232563,0.852588,0.766174,0.665769,0.855559
39,1.5600000000000007,0.715684,0.450481,0.901176,0.709577,0.436921,0.750062,0.703354,0.43146,0.764931,0.680409,0.540438,0.864123,0.654356,0.652175,0.741168,0.778422,0.616726,0.845522,0.652864,0.662896,0.797053,0.678859,0.644041,0.868141,0.717288,0.44229,0.782209,0.717296,0.554143,0.914818,0.766195,0.65761,0.7861,0.71411,0.229813,0.901044,0.75554,0.663031,0.81343
40,1.6000000000000008,0.712623,0.447773,0.869005,0.703352,0.428775,0.764591,0.692707,0.428671,0.785915,0.678889,0.535076,0.868761,0.654377,0.65486,0.746665,0.763149,0.616635,0.788739,0.652871,0.662929,0.800588,0.677427,0.64406,0.853701,0.708048,0.434159,0.727847,0.703484,0.553956,0.909797,0.749365,0.660316,0.771847,0.703484,0.227178,0.933562,0.740138,0.66313,0.834403
41,1.6400000000000008,0.705037,0.444988,0.901622,0.692729,0.426091,0.790704,0.686557,0.425973,0.747575,0.677386,0.543107,0.768115,0.654416,0.657548,0.727119,0.743229,0.619488,0.783099,0.652887,0.662921,0.795319,0.677405,0.646629,0.822397,0.701909,0.428776,0.755555,0.685041,0.545898,0.761239,0.726412,0.663069,0.789363,0.695757,0.22702,0.891554,0.717243,0.665744,0.841092
42,1.6800000000000008,0.704919,0.444921,0.910372,0.686557,0.426022,0.744932,0.678957,0.425888,0.778005,0.671246,0.537758,0.8121,0.654375,0.654858,0.732618,0.726404,0.624894,0.756374,0.649855,0.66288,0.806433,0.675874,0.644031,0.827629,0.692693,0.428762,0.788684,0.674347,0.537769,0.798539,0.703393,0.663143,0.812017,0.689657,0.227005,0.909608,0.694213,0.665666,0.845133
43,1.7200000000000009,0.700352,0.442283,0.83039,0.678917,0.425978,0.807004,0.6698,0.423352,0.74733,0.671299,0.537676,0.774624,0.654454,0.646666,0.594745,0.697301,0.646715,0.751857,0.654352,0.652152,0.648658,0.678962,0.641132,0.740152,0.682051,0.4287,0.751647,0.662076,0.535001,0.836029,0.668257,0.663135,0.668012,0.680503,0.22435,0.888699,0.662061,0.660356,0.673578
44,1.760000000000001,0.694243,0.44232,0.880564,0.672781,0.423194,0.741841,0.66815,0.420528,0.74364,0.66828,0.534995,0.824023,0.651329,0.660243,0.271395,0.67742,0.65756,0.689214,0.651348,0.663053,0.297834,0.678851,0.644001,0.792154,0.678923,0.423332,0.768181,0.654375,0.53226,0.875914,0.654371,0.67121,0.739156,0.674357,0.224323,0.850881,0.643726,0.665842,0.776634
45,1.800000000000001,0.691138,0.442285,0.849584,0.666663,0.42879,0.754287,0.665109,0.428737,0.67045,0.668237,0.543168,0.837697,0.660531,0.654831,0.19663,0.651371,0.660271,0.717043,0.655964,0.66294,0.341024,0.678837,0.646631,0.847433,0.668187,0.434155,0.728782,0.64065,0.53486,0.863265,0.628387,0.668551,0.841799,0.666637,0.226916,0.909599,0.619223,0.665784,0.797033
46,1.840000000000001,0.681993,0.445056,0.893323,0.657534,0.428721,0.742251,0.655916,0.426074,0.730771,0.666653,0.540385,0.826845,0.654352,0.654828,0.735473,0.626856,0.668505,0.789582,0.649816,0.660352,0.844468,0.677371,0.64408,0.833524,0.663624,0.431449,0.718988,0.629992,0.534944,0.895224,0.600805,0.668427,0.848092,0.657472,0.227031,0.917214,0.593212,0.662902,0.820594
