frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
28,1.1200000000000003,756.423,232.486,0.917834,759.406,229.312,0.924247,756.221,229.239,0.926966,729.264,280.518,0.900414,711.214,343.682,0.658239,771.418,352.915,0.824398,708.213,346.656,0.781548,732.28,340.713,0.86479,771.351,229.407,0.865048,762.27,295.529,0.873866,744.282,358.784,0.734358,762.388,127.002,0.878701,735.159,352.794,0.830709
29,1.1600000000000004,744.313,238.405,0.857121,756.375,229.481,0.911808,747.298,229.443,0.847805,720.147,280.626,0.844231,687.13,340.726,0.712374,777.319,352.889,0.830118,684.122,343.813,0.795951,711.054,343.763,0.922212,762.387,229.513,0.892834,759.479,295.503,0.919439,756.235,361.873,0.806762,759.317,129.922,0.915707,741.268,352.877,0.821772
30,1.2000000000000004,735.35,232.42,0.933692,753.323,229.45,0.875918,741.24,229.367,0.845713,714.175,280.636,0.822566,668.981,328.749,0.677338,777.365,352.917,0.799665,663.018,334.718,0.738135,690.042,340.807,0.812864,759.301,232.322,0.921531,759.418,295.609,0.89781,756.154,364.834,0.765571,753.293,129.938,0.8848,741.283,352.907,0.729055
31,1.2400000000000004,732.104,235.402,0.886781,741.279,232.381,0.819925,738.332,229.503,0.805116,756.403,295.501,0.82896,750.23,355.767,0.496847,678.004,346.865,0.77042,738.286,361.826,0.560992,771.317,349.76,0.726803,744.271,232.452,0.823342,708.114,286.521,0.779086,653.876,334.768,0.716204,741.237,129.979,0.882188,644.959,325.764,0.715402
32,1.2800000000000005,717.217,241.389,0.846614,735.34,235.327,0.884441,741.317,232.396,0.82263,756.297,298.549,0.936211,750.314,352.814,0.709503,665.985,346.84,0.888469,738.273,358.818,0.751999,768.407,349.816,0.834188,732.341,235.373,0.873925,702.025,292.577,0.832855,641.905,337.767,0.782895,735.253,132.869,0.941384,638.999,325.82,0.776182
33,1.3200000000000005,711.272,244.441,0.923174,732.157,241.331,0.862814,732.335,238.325,0.826825,753.199,298.679,0.896937,753.203,352.837,0.686011,659.939,349.841,0.910898,738.32,358.884,0.722213,768.308,349.829,0.845097,729.145,241.349,0.821208,687.095,295.514,0.874363,635.941,343.787,0.82324,732.061,132.954,0.901439,635.885,331.745,0.724787
34,1.3600000000000005,708.087,241.39,0.87387,717.189,235.395,0.810845,720.176,232.441,0.786318,741.219,298.552,0.872625,744.278,355.773,0.68756,659.823,349.949,0.846878,735.345,364.771,0.759341,762.426,349.75,0.868632,714.245,238.362,0.820765,683.891,292.592,0.845524,635.695,346.866,0.824702,714.19,132.955,0.893634,632.771,343.655,0.691561
35,1.4000000000000006,704.981,247.392,0.901209,708.183,238.433,0.850771,708.155,235.374,0.791216,732.359,298.506,0.86803,741.2,358.801,0.504898,656.871,352.887,0.694995,735.284,364.816,0.592146,759.438,346.829,0.775152,708.191,241.391,0.878666,666.062,298.486,0.70105,632.859,349.893,0.720151,711.019,132.863,0.920579,629.774,346.859,0.644907
36,1.4400000000000006,693.052,247.383,0.891177,699.122,232.472,0.818165,693.141,232.334,0.812817,717.159,298.489,0.772113,738.186,355.778,0.482758,762.327,346.744,0.490732,735.255,361.799,0.538564,756.434,343.663,0.795752,705.033,235.418,0.858035,720.119,298.587,0.543781,747.244,358.786,0.434423,702.153,130.049,0.874505,738.181,355.848,0.475989
37,1.4800000000000006,687.138,238.386,0.891332,687.202,229.503,0.878737,690.099,229.422,0.865893,708.031,298.682,0.982644,738.328,355.832,0.763762,656.83,352.764,0.832798,735.252,364.798,0.852599,753.199,331.811,0.848196,687.129,232.334,0.879076,659.868,295.48,0.876832,629.847,352.814,0.795647,690.087,129.93,0.909325,617.882,349.749,0.777188
