frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
29,1.1600000000000004,0.78435,0.44255,0.887809,0.798451,0.429823,0.855341,0.784315,0.423842,0.852715,0.755907,0.524431,0.88849,0.741577,0.631632,0.718351,0.805575,0.663273,0.778323,0.738161,0.632158,0.737696,0.755907,0.625261,0.851586,0.805586,0.430034,0.933082,0.801888,0.537146,0.864193,0.791242,0.675731,0.783881,0.801975,0.228072,0.912062,0.780564,0.669451,0.786774
30,1.2000000000000004,0.780568,0.436197,0.957198,0.787753,0.430038,0.853625,0.784327,0.429842,0.859627,0.755961,0.524728,0.726662,0,0,0,0.808961,0.669474,0.570317,0.723954,0.63188,0.340713,0.745226,0.625547,0.59399,0.791378,0.43024,0.857582,0.798343,0.537446,0.611822,0.77708,0.669695,0.556306,0.791354,0.228299,0.86935,0.773585,0.657131,0.51902
31,1.2400000000000004,0.77362,0.430251,0.891167,0.780806,0.430086,0.909347,0.780751,0.430016,0.878815,0.762991,0.530826,0.698262,0.702735,0.625688,0.290367,0.720509,0.638127,0.541022,0.699092,0.625768,0.350433,0.720448,0.625741,0.599444,0.784209,0.430133,0.900985,0.759472,0.530947,0.617684,0.702621,0.6319,0.460127,0.780864,0.228426,0.885775,0.69914,0.625615,0.492752
32,1.2800000000000005,0.759394,0.448831,0.843842,0.777088,0.436463,0.871699,0.770015,0.436374,0.801596,0.74523,0.530782,0.778261,0.691938,0.625239,0.612785,0.808969,0.669461,0.814532,0.68834,0.625505,0.628791,0.7062,0.62564,0.769216,0.780681,0.436527,0.914195,0.784326,0.543557,0.777951,0.784244,0.676143,0.846443,0.777207,0.234555,0.83153,0.780613,0.669662,0.778342
33,1.3200000000000005,0.752287,0.436433,0.939638,0.773504,0.436281,0.840219,0.773538,0.430281,0.835308,0.780741,0.537385,0.847149,0.780667,0.66958,0.604538,0.695545,0.632163,0.794157,0.77694,0.675706,0.670129,0.805336,0.650699,0.81185,0.773505,0.436406,0.855659,0.731079,0.530624,0.821237,0.674362,0.625782,0.700551,0.770028,0.234458,0.859998,0.670821,0.619361,0.625739
34,1.3600000000000005,0.748564,0.448919,0.878127,0.755961,0.436238,0.84311,0.759361,0.430253,0.825062,0.780532,0.537167,0.877619,0.780782,0.66344,0.540019,0.69215,0.638334,0.783801,0.777014,0.669774,0.6084,0.801997,0.638357,0.789841,0.755976,0.436377,0.844008,0.723774,0.530859,0.834885,0.667197,0.631841,0.75953,0.755961,0.240703,0.800997,0.663752,0.625344,0.701603
35,1.4000000000000006,0.738126,0.461427,0.848264,0.748744,0.442464,0.871204,0.74165,0.436349,0.810482,0.71681,0.530906,0.782353,0.663701,0.631571,0.690478,0.808977,0.644553,0.782743,0.660029,0.631927,0.668877,0.688442,0.631743,0.778161,0.752343,0.442565,0.905991,0.777112,0.54972,0.850573,0.780781,0.675836,0.859704,0.752173,0.240751,0.834522,0.777173,0.669494,0.83164
36,1.4400000000000006,0.724113,0.461503,0.908634,0.745071,0.436496,0.830945,0.745127,0.436286,0.821912,0.762918,0.537421,0.834956,0.777212,0.669466,0.696953,0.684973,0.663335,0.798134,0.773523,0.675796,0.754023,0.798305,0.632084,0.839279,0.741631,0.442487,0.832771,0.695771,0.53725,0.84828,0.663543,0.657122,0.759618,0.745125,0.234517,0.83938,0.660098,0.638287,0.693974
37,1.4800000000000006,0.723805,0.442511,0.920316,0.727466,0.430296,0.879803,0.727536,0.430152,0.864078,0.748782,0.537137,0.910678,0.777025,0.663512,0.613286,0.684856,0.657156,0.748793,0.77347,0.67582,0.666938,0.787728,0.631578,0.821895,0.727477,0.436192,0.870813,0.692162,0.531012,0.871258,0.663458,0.663349,0.707773,0.727598,0.234474,0.81287,0.656486,0.644366,0.621507
38,1.5200000000000007,0.720441,0.442741,0.913062,0.720463,0.430244,0.89596,0.72038,0.430156,0.864618,0.727482,0.537416,0.720995,0.769937,0.669632,0.428711,0.684863,0.650812,0.569929,0.766456,0.675825,0.490039,0.780528,0.625401,0.808761,0.723778,0.436167,0.930328,0.699091,0.531188,0.700421,0.663537,0.663411,0.553019,0.723899,0.234305,0.902336,0.659951,0.638423,0.516722
39,1.5600000000000007,0.720253,0.449007,0.882143,0.713309,0.43635,0.803143,0.713261,0.436161,0.796991,0.720203,0.556094,0.85076,0.762921,0.657156,0.626188,0.681421,0.65071,0.730678,0.755899,0.669742,0.709734,0.766448,0.619186,0.843101,0.716724,0.442483,0.837307,0.684919,0.537276,0.819146,0.660149,0.657142,0.730667,0.716831,0.228022,0.888528,0.653048,0.638239,0.67613
40,1.6000000000000008,0.720204,0.436158,0.918358,0.695703,0.429969,0.882407,0.692171,0.429846,0.924963,0.681328,0.537243,0.819796,0.656606,0.644412,0.667264,0.76293,0.619057,0.71033,0.652951,0.657018,0.674057,0.674241,0.632175,0.799729,0.706171,0.430136,0.847842,0.695557,0.549842,0.842981,0.752205,0.638292,0.767016,0.702702,0.227855,0.914546,0.748582,0.65069,0.666556
41,1.6400000000000008,0.716688,0.436277,0.868343,0.692132,0.429934,0.923458,0.688473,0.429899,0.89611,0.684847,0.537434,0.814616,0.713252,0.644499,0.285774,0.692037,0.657065,0.574376,0.702623,0.65078,0.327597,0.720439,0.625244,0.703745,0.699044,0.430091,0.908536,0.688418,0.53744,0.854936,0.670729,0.675679,0.621356,0.699049,0.227787,0.902935,0.663615,0.650858,0.595359
42,1.6800000000000008,0.702697,0.43024,0.904846,0.688402,0.423685,0.867111,0.674344,0.423481,0.844542,0.674254,0.531203,0.878271,0.670834,0.644621,0.313717,0.69907,0.650656,0.809684,0.667272,0.650878,0.393231,0.713203,0.625722,0.831307,0.692082,0.423865,0.946812,0.674333,0.537167,0.848285,0.670752,0.669721,0.824128,0.691938,0.221799,0.906514,0.66367,0.657167,0.815312
43,1.7200000000000009,0.699184,0.430235,0.888407,0.677869,0.423908,0.811654,0.670695,0.423696,0.84344,0.667087,0.53094,0.863834,0.660128,0.638082,0.449611,0.695622,0.650857,0.816758,0.659981,0.638431,0.508167,0.68836,0.631643,0.809164,0.688508,0.429934,0.878331,0.667089,0.531166,0.912127,0.66716,0.675688,0.815145,0.688356,0.221916,0.883784,0.660106,0.657091,0.761768
44,1.760000000000001,0.695655,0.436333,0.894284,0.670731,0.429873,0.859905,0.667131,0.429776,0.897201,0.663634,0.530908,0.874971,0.649412,0.650745,0.396142,0.681435,0.650791,0.748698,0.642503,0.657133,0.44833,0.670663,0.631672,0.841068,0.681372,0.430051,0.849129,0.663552,0.530935,0.897352,0.66346,0.6757,0.810854,0.670883,0.221799,0.906263,0.645989,0.669472,0.746302
45,1.800000000000001,0.691896,0.436157,0.861197,0.663784,0.429931,0.899535,0.663543,0.429843,0.886189,0.660161,0.530988,0.836613,0.638733,0.656995,0.354562,0.667325,0.650824,0.770298,0.63523,0.663296,0.409052,0.667168,0.632026,0.792099,0.667276,0.430089,0.912893,0.645992,0.530919,0.830629,0.638858,0.675638,0.807334,0.667277,0.227848,0.937234,0.631778,0.663365,0.740643
46,1.840000000000001,0.68842,0.442503,0.858187,0.663508,0.436301,0.862801,0.660155,0.436201,0.824428,0.667221,0.537411,0.873826,0.667066,0.656999,0.615274,0.624665,0.675672,0.852573,0.656577,0.663464,0.642149,0.677835,0.638229,0.832214,0.663634,0.436428,0.911521,0.635145,0.537202,0.935335,0.60332,0.669769,0.768714,0.660123,0.221875,0.897128,0.599786,0.657121,0.635278
47,1.880000000000001,0.67788,0.442546,0.843135,0.656508,0.436172,0.82691,0.653036,0.43016,0.822011,0.667089,0.543423,0.878202,0.66008,0.657129,0.649161,0.606839,0.67568,0.862787,0.645921,0.669689,0.742981,0.677805,0.632219,0.836006,0.659977,0.436325,0.85581,0.631618,0.537449,0.862107,0.578514,0.663295,0.77212,0.64941,0.227791,0.902234,0.575022,0.63815,0.704631
48,1.920000000000001,0.667339,0.442511,0.880256,0.642315,0.436259,0.857283,0.638857,0.436194,0.900822,0.649485,0.537166,0.815614,0.660142,0.657043,0.489977,0.582205,0.663247,0.704679,0.652982,0.663438,0.55188,0.674241,0.632003,0.780644,0.649436,0.436406,0.820963,0.628221,0.537158,0.761291,0.56439,0.650675,0.654866,0.639015,0.228179,0.893164,0.557397,0.632149,0.652079
49,1.960000000000001,0.660043,0.44247,0.850308,0.635213,0.442481,0.865819,0.635135,0.436401,0.840922,0.649538,0.54344,0.835951,0.66013,0.66329,0.707848,0.578391,0.669531,0.818876,0.649466,0.669802,0.763919,0.670894,0.632159,0.856791,0.635329,0.442543,0.895389,0.606919,0.549757,0.899123,0.553642,0.644422,0.772541,0.635191,0.228268,0.88595,0.550219,0.63182,0.772725
50,2.000000000000001,0.645899,0.442754,0.844388,0.628246,0.442563,0.82374,0.628227,0.436435,0.812093,0.645894,0.549745,0.836937,0.659965,0.663271,0.658969,0.574871,0.669733,0.834024,0.642445,0.669719,0.74094,0.670723,0.638057,0.877173,0.631579,0.442687,0.829559,0.599746,0.543707,0.83521,0.550011,0.657036,0.785441,0.621164,0.228344,0.834498,0.546492,0.638116,0.761853
51,2.040000000000001,0.635331,0.448999,0.863835,0.610614,0.436397,0.857218,0.610573,0.436316,0.88898,0.635385,0.537154,0.89937,0.656594,0.663289,0.643637,0.567938,0.663476,0.773514,0.642476,0.669793,0.728294,0.667355,0.63184,0.884464,0.614055,0.436469,0.820225,0.585744,0.537329,0.854011,0.546502,0.657192,0.721083,0.610629,0.234372,0.871905,0.539488,0.638394,0.666506
52,2.080000000000001,0.624598,0.455147,0.81085,0.606833,0.442692,0.86248,0.606949,0.442523,0.847377,0.621147,0.537424,0.837882,0.656556,0.663332,0.671459,0.560898,0.663498,0.831248,0.64585,0.675742,0.765921,0.667115,0.631625,0.939977,0.606724,0.448812,0.845975,0.578341,0.537152,0.90289,0.536,0.669625,0.786758,0.606872,0.228206,0.906393,0.528864,0.650738,0.738933
